index,Provincia,Periodo,Media_tmed,Media_prec,Media_sol,Media_tmin,Media_tmax
4831,Madrid,2020-01,10.4,1.207142857142857,4.4172972972972975,1.2717171717171718,9.746969696969698
4881,Madrid,2020-02,5.1,0.31626016260162604,6.056593406593406,3.6578125,14.316666666666668
4931,Madrid,2020-03,2.6,2.6616216216216215,5.348351648351648,4.027707808564232,13.971284634760707
4981,Madrid,2020-04,0.6,2.9151282051282053,5.416304347826087,7.035929648241207,16.228643216080403
5031,Madrid,2020-05,8.8,1.9591029023746702,9.351612903225806,10.742487046632125,23.643523316062176
5081,Madrid,2020-06,13.4,0.559779614325069,11.158469945355192,13.11229946524064,27.053475935828878
5131,Madrid,2020-07,18.6,0.21882352941176472,12.002732240437158,18.375401069518716,33.78850267379679
5181,Madrid,2020-08,21.4,0.9241847826086957,11.17081081081081,16.026592797783934,30.267036011080332
5231,Madrid,2020-09,14.4,2.3766937669376693,8.434408602150537,12.684117647058825,25.000882352941176
5281,Madrid,2020-10,8.0,2.917955112219451,6.691935483870968,6.771637426900585,17.317543859649124
5331,Madrid,2020-11,11.5,2.4225274725274724,4.358602150537634,5.702432432432433,14.12972972972973
5381,Madrid,2020-12,3.4,1.7284960422163589,3.85752688172043,1.7314285714285715,8.802077922077922
5431,Madrid,2021-01,-6.1,2.015068493150685,4.588172043010752,-1.1794270833333333,6.931510416666666
5481,Madrid,2021-02,2.2,2.0953168044077137,4.641397849462366,4.106756756756757,12.344594594594595
5531,Madrid,2021-03,-0.2,0.19642857142857142,7.098369565217391,3.1444444444444444,14.824054054054052
5581,Madrid,2021-04,9.9,2.570360110803324,5.826344086021505,5.898591549295775,16.336338028169013
5631,Madrid,2021-05,2.2,0.8939560439560439,9.122162162162162,9.056269113149847,21.775840978593273
5681,Madrid,2021-06,10.6,1.5044728434504793,10.290860215053764,13.562130177514794,26.739053254437867
5731,Madrid,2021-07,18.6,0.17745664739884393,12.198924731182796,15.66053412462908,30.735311572700294
5781,Madrid,2021-08,10.6,1.2534426229508198,11.197311827956987,17.27379518072289,32.30993975903614
5831,Madrid,2021-09,13.2,2.048632218844985,7.106486486486487,13.198466257668711,24.150920245398773
5881,Madrid,2021-10,12.5,2.72433234421365,7.676881720430108,8.660307692307692,20.339263803680982
5931,Madrid,2021-11,3.2,1.109593023255814,6.044086021505376,1.968956043956044,11.11098901098901
5981,Madrid,2021-12,-0.8,1.4929178470254958,4.7827956989247316,2.9057065217391305,11.31413043478261
6031,Madrid,2022-01,10.6,0.5486725663716814,7.096774193548387,-0.4615591397849462,10.559139784946236
6081,Madrid,2022-02,2.7,0.8343575418994413,6.939247311827957,2.113411078717201,14.267930029154519
6131,Madrid,2022-03,6.2,4.521967213114754,2.743010752688172,4.574675324675325,11.906818181818183
6181,Madrid,2022-04,-5.0,2.5148484848484847,7.623118279569893,5.041935483870968,16.301290322580645
6231,Madrid,2022-05,9.7,0.3870056497175141,10.596774193548388,11.156637168141593,25.04264705882353
6281,Madrid,2022-06,13.2,0.0824022346368715,11.517837837837838,14.635597826086956,28.963858695652174
6331,Madrid,2022-07,16.6,0.1051912568306011,12.731693989071038,19.027445652173913,34.7366847826087
6381,Madrid,2022-08,24.0,0.09476584022038567,11.149462365591399,18.15994623655914,32.303225806451614
6431,Madrid,2022-09,17.4,1.6533149171270718,8.434594594594595,12.644986449864499,24.876964769647696
6481,Madrid,2022-10,10.8,1.7381868131868132,5.489247311827957,11.321891891891893,21.622432432432433
6531,Madrid,2022-11,7.4,2.419047619047619,4.808064516129032,5.106983240223464,13.654748603351955
6581,Madrid,2022-12,2.4,4.532590529247911,2.3583815028901736,4.459103641456583,10.635574229691876
6631,Madrid,2023-01,4.6,1.397142857142857,6.0456521739130435,-0.28005464480874315,8.8275956284153
6681,Madrid,2023-02,4.8,0.15831202046035805,7.323118279569892,-0.7746630727762802,10.635849056603774
6731,Madrid,2023-03,-8.3,0.8005089058524174,8.075806451612904,4.0754716981132075,16.128301886792453
6781,Madrid,2023-04,2.3,0.28521303258145364,10.209677419354838,7.291803278688525,21.722677595628415
6831,Madrid,2023-05,11.2,2.199746192893401,8.874193548387096,8.620325203252033,21.51734417344173
6881,Madrid,2023-06,9.3,2.0318181818181817,9.396756756756757,14.71135135135135,26.68702702702703
6931,Madrid,2023-07,16.2,0.1761194029850746,12.408064516129032,17.38225806451613,32.15672043010753
6981,Madrid,2023-08,17.6,0.0012594458438287153,11.762903225806452,17.529380053908355,32.688709677419354
7031,Madrid,2023-09,18.0,4.151851851851852,7.302150537634409,13.514864864864865,23.971081081081078
7081,Madrid,2023-10,19.3,5.246428571428572,5.838172043010753,10.884657534246575,20.626027397260273
7131,Madrid,2023-11,4.6,1.9588050314465408,4.956111111111111,5.544648318042813,13.753516819571864
