hex_id,boundary,avg
88390cb0a1fffff,"((40.46857825696357, -3.6833286996387544), (40.46678186695919, -3.689091869959835), (40.4618624893824, -3.6899161280392665), (40.45873978635686, -3.6849778434370957), (40.4605361770061, -3.679215411922737), (40.4654552700243, -3.6783905262654883))",
88390cb0c1fffff,"((40.50746127327255, -3.6932017803869215), (40.50566546263182, -3.6989682679981133), (40.5007464129195, -3.6997923708693676), (40.49762345817701, -3.694850614624999), (40.499419269396654, -3.689084866528504), (40.50433803476807, -3.688260135223422))",
88390cb0e5fffff,"((40.47927204873186, -3.708852393390456), (40.47747450655569, -3.7146170594396217), (40.47255456868253, -3.715439904707059), (40.469432457225736, -3.7104987122350463), (40.47122999969575, -3.704734785007223), (40.47614965331695, -3.7039113114916993))",
88390cb191fffff,"((40.44710375525463, -3.6923882729727135), (40.445306211639895, -3.6981499845155326), (40.44038624112284, -3.6989734569927193), (40.43726409873038, -3.6940358453710314), (40.439061642814266, -3.6882748721302274), (40.44398132880969, -3.687450772270685))",
88390cb19dfffff,"((40.44842834666526, -3.70308849098191), (40.44663022707536, -3.7088505806224665), (40.44170997215625, -3.709673425490693), (40.43858812121731, -3.7047348083888987), (40.44038624112284, -3.6989734569927193), (40.445306211639895, -3.6981499845155326))",
88390cb1b1fffff,"((40.425625730118036, -3.701443245856424), (40.42382703380023, -3.7072034990715066), (40.418906471819525, -3.7080261865968436), (40.415784890629375, -3.703089248155463), (40.41758358724042, -3.6973297327380514), (40.42250386473665, -3.6965064180258644))",
88390cb1bdfffff,"((40.426948607915065, -3.712141331939461), (40.425149335812335, -3.717901962720989), (40.42022848946677, -3.7187240228331286), (40.41710719957701, -3.713786079638437), (40.418906471819525, -3.7080261865968436), (40.42382703380023, -3.7072034990715066))",
88390cb515fffff,"((40.47805804100142, -3.5779866395186946), (40.47626798659164, -3.5837478407745387), (40.47135176908151, -3.58457852688207), (40.4682258916369, -3.5796486375219176), (40.4700159482486, -3.5738881760857537), (40.47493188009142, -3.573056864251937))",
88390cb529fffff,"((40.46731195309137, -3.6125539694403987), (40.46551959412071, -3.6183152188355185), (40.4606022188162, -3.6191437101633515), (40.45747748779676, -3.614211578361966), (40.45926984844296, -3.608451068301409), (40.46418693842144, -3.60762195076947))",
88390cb531fffff,"((40.4633096661382, -3.5804794780228097), (40.46151903245691, -3.5862395822078854), (40.45660251348729, -3.587069951465786), (40.45347691387004, -3.5821408421221688), (40.455267549687036, -3.576381477439214), (40.460183782974006, -3.5755504826595823))",
88390cb899fffff,"((40.351809749471315, -3.713778064183839), (40.350008175658154, -3.7195328324472907), (40.34508612680825, -3.7203539522558966), (40.34196593631859, -3.7154209300212506), (40.34376751009314, -3.7096668979734178), (40.34868927438424, -3.7088451520059076))",
88390cba93fffff,"((40.398743492890326, -3.7277700241293408), (40.39694249364383, -3.733528836008836), (40.392020766283615, -3.7343496416893895), (40.388900322433216, -3.7294122627792854), (40.390701321533705, -3.723654187948358), (40.39562276461882, -3.722832755040339))",
88390cbadbfffff,"((40.42418933692228, -3.7508258210239496), (40.42238776080518, -3.7565872210390103), (40.41746577066936, -3.7574069269169437), (40.41434564059193, -3.752465860943008), (40.41614721627859, -3.7467051983058077), (40.421068922461295, -3.7458848643261025))",
88390ca00bfffff,"((40.38417254418206, -3.610193317891041), (40.382377868845154, -3.6159479662916287), (40.3774592750818, -3.6167756590344626), (40.37433564223133, -3.611849328176534), (40.37613031910847, -3.6060954174513093), (40.38104862728429, -3.6052670999702388))",25.709722222222222
88390ca05dfffff,"((40.40025696198852, -3.6183922599778024), (40.39846228960222, -3.6241483841198825), (40.39354370827869, -3.6249757672587073), (40.390420084783536, -3.620047651486315), (40.3922147586235, -3.6142922652800986), (40.39713305449333, -3.613464256972034))",
88390ca231fffff,"((40.416341333711955, -3.6265953927369976), (40.41454666410282, -3.632352993141634), (40.40962809602122, -3.6331800662179026), (40.40650448285678, -3.6282501645518024), (40.40829915383279, -3.6224933023435866), (40.41321743659474, -3.621665603666674))",
88390ca203fffff,"((40.432425655797076, -3.634802719045826), (40.43063098879126, -3.6405617962340924), (40.42571243475372, -3.641388558788727), (40.42258883289584, -3.6364568702491105), (40.42438350118156, -3.6306985315177873), (40.429301770033604, -3.629871142930806))",21.52638888888889
88390ca257fffff,"((40.4471801405149, -3.6323207033012963), (40.445386051254026, -3.6380808776432794), (40.44046779711394, -3.6389079556810864), (40.43734391739341, -3.6339754856759816), (40.43913800800044, -3.6282160501080716), (40.4440559769702, -3.627388345832893))",21.52638888888889
88390ca257fffff,"((40.4471801405149, -3.6323207033012963), (40.445386051254026, -3.6380808776432794), (40.44046779711394, -3.6389079556810864), (40.43734391739341, -3.6339754856759816), (40.43913800800044, -3.6282160501080716), (40.4440559769702, -3.627388345832893))",21.52638888888889
88390ca20bfffff,"((40.44046779711394, -3.6389079556810864), (40.43867313134447, -3.6446677714565903), (40.43375458462978, -3.64549437857809), (40.43063098879126, -3.6405617962340924), (40.432425655797076, -3.634802719045826), (40.43734391739341, -3.6339754856759816))",21.52638888888889
88390ca207fffff,"((40.42571243475372, -3.641388558788727), (40.4239171914767, -3.6471472774897857), (40.41899834518336, -3.647973569319376), (40.41587502728889, -3.643041768552825), (40.41767027173599, -3.637283788121979), (40.42258883289584, -3.6364568702491105))",
